iter	RMSE
0	0.2771752947
1	0.2739103691
2	0.2702457817
3	0.2666674773
4	0.2638357594
5	0.2614171804
6	0.2599269041
7	0.2587011769
8	0.256637014
9	0.2550937245
10	0.2535641277
11	0.2514860228
12	0.2502756312
13	0.249607498
14	0.2481066768
15	0.2465208703
16	0.2458502684
17	0.2427448618
18	0.2411050324
19	0.239745138
20	0.2388122604
21	0.2369458547
22	0.2352086626
23	0.2338612253
24	0.2336053399
25	0.2323252593
26	0.2315222364
27	0.2303187722
28	0.2276286505
29	0.2267364411
30	0.2247990652
31	0.2227297167
32	0.2212181822
33	0.2191224406
34	0.2175164148
35	0.2150023919
36	0.2132021385
37	0.2128480101
38	0.2125141304
39	0.2118829238
